1.5283	0.0727
1.2282	0.071
0.9282	0.0701
0.6282	0.0679
0.3282	0.0668
0.0284	0.0655
-0.2717	0.0643
-0.5716	0.062
-0.8717	0.0608
-1.1715	0.0593
-1.4717	0.0585
-1.7714	0.0563
-2.0713	0.054
-0.1655	-1.6351
-0.1633	-1.3352
-0.1673	-1.0356
-0.1684	-0.7351
-0.1697	-0.4356
-0.1709	-0.1361
-0.1721	0.1655
-0.173	0.4647
-0.174	0.7643
-0.1753	1.0649
-0.1768	1.3641
-0.1774	1.6645
-0.1798	1.9652
1.5398	-1.6335
1.5342	-1.0291
1.5302	-0.427
1.5281	0.1728
1.5282	0.7733
1.5296	1.3763	
0.9267	1.9719
0.9259	1.37
0.9261	0.7694
0.9279	0.17
0.9296	-0.4291
0.932	-1.0293
0.9371	-1.633
0.3345	-1.6326
0.3315	-1.0326
0.3298	-0.433
0.3278	0.1665
0.3255	0.7668
0.3237	1.3661
0.3226	1.9667
-0.28	1.9643
-0.277	1.3637
-0.2744	0.7632
-0.2722	0.164
-0.27	-0.4356
-0.2676	-1.0363
-0.2657	-1.6357
-0.8664	-1.6415
-0.8693	-0.439
-0.8722	0.1606
-0.8745	0.7606
-0.8782	1.3612
-0.8831	1.9617
-1.4874	1.9612
-1.482	1.3609
-1.4763	0.759
-1.4724	0.1581
-1.4724	0.1581
-1.4686	-1.044
-1.4684	-1.6477	
-2.082	1.3588
-2.077	0.7561
-2.0725	0.1543
-2.0696	-0.4472
-2.0681	-1.0501
-2.0672	-1.6536
